,Pressure,Pumping Speed (L/min)
ESR30N,7.8,3200
ESR30N,10.2,3200
ESR30N,20.1,3200
ESR30N,41.4,3270
ESR30N,74.5,3160
ESR30N,80.6,3150
ESR30N,93.7,3000
ESR30N,104,2900
ESR30N,135,2500
ESR30N,200,2000
ESR30N,300,1500
ESR30N,400,1200
ESR30N,500,1010
ESR30N,600,1000
ESR30N,700,900
ESR30N,760,850
ESR500W-LT ,0.0015,1
ESR500W-LT ,0.003,5229.2
ESR500W-LT ,0.004,11579
ESR500W-LT ,0.007,14407
ESR500W-LT ,0.0101,16419.9
ESR500W-LT ,0.0201,20069.5
ESR500W-LT ,0.04,22224.2
ESR500W-LT ,0.07,23478.1
ESR500W-LT ,0.1,23905
ESR500W-LT ,0.2001,25386.4
ESR500W-LT ,0.4,25772.6
ESR500W-LT ,0.7,26679.7
ESR500W-LT ,0.9999,26146.1
ESR500W-LT ,1.9998,25025.5
ESR500W-LT ,3.9997,23531.5
ESR500W-LT ,6.9995,21877.3
ESR500W-LT ,8.2394,21758.2
ESR500W-LT ,9.9992,19176.5
ESR500W-LT ,42.5965,5210.7
ESR500W-LT ,70.3342,3902.7
ESR80WN,0.0015,10
ESR80WN,0.0018,700
ESR80WN,0.003,1500
ESR80WN,0.005,2270
ESR80WN,0.007,2560
ESR80WN,0.00998,3000
ESR80WN,0.03,4600
ESR80WN,0.05,5600
ESR80WN,0.07,6390
ESR80WN,0.0998,6990
ESR80WN,0.3,8280
ESR80WN,0.5,8450
ESR80WN,0.7,8500
ESR80WN,0.998,8600
ESR80WN,3,8500
ESR80WN,5,8300
ESR80WN,7,7800
ESR80WN,9,7000
ESR80WN,9.98,6500
ESR80WN,30,3500
ESR80WN,50,2500
ESR80WN,200,600
ESR80WN,542,360
ESR80WN,745,320
ESR80WN,760,300
EST100WN,0.003,10
EST100WN,0.00323,657
EST100WN,0.00398,1660
EST100WN,0.00698,3180
EST100WN,0.011,3930
EST100WN,0.02,4800
EST100WN,0.04,6430
EST100WN,0.07,8080
EST100WN,0.0998,8340
EST100WN,0.2,9030
EST100WN,0.4,10000
EST100WN,0.7,10000
EST100WN,0.998,10000
EST100WN,2,10000
EST100WN,4,10000
EST100WN,7,10000
EST100WN,9.98,10000
EST100WN,20,10000
EST100WN,40,6860
EST100WN,70,4290
EST100WN,200,1960
EST100WN,500,1570
EST100WN,760,1530
EST200WN,0.003,10
EST200WN,0.0036,1530
EST200WN,0.006,6730
EST200WN,0.00773,9150
EST200WN,0.0108,11200
EST200WN,0.02,15200
EST200WN,0.04,19200
EST200WN,0.07,20000
EST200WN,0.0998,20000
EST200WN,0.2,20000
EST200WN,0.4,20000
EST200WN,0.7,20000
EST200WN,0.998,20000
EST200WN,2,17200
EST200WN,4,11900
EST200WN,7,8680
EST200WN,9.98,6650
EST200WN,20,4070
EST200WN,40,2570
EST200WN,75,1710
EST200WN,200,1310
EST200WN,500,1280
EST200WN,760,1280
EST25N,0.0203,1
EST25N,0.0211,500
EST25N,0.03,942
EST25N,0.0356,981
EST25N,0.04,1120
EST25N,0.055,1340
EST25N,0.07,1570
EST25N,0.0998,1820
EST25N,0.2,2280
EST25N,0.4,2430
EST25N,0.7,2490
EST25N,0.998,2660
EST25N,2,2660
EST25N,4,2660
EST25N,7,2670
EST25N,16,2040
EST25N,33.5,1620
EST25N,55.7,1360
EST25N,725,1170
EST25N,760,1150
EST300WN,0.003,10
EST300WN,0.00398,2330
EST300WN,0.00525,5250
EST300WN,0.00713,9600
EST300WN,0.00998,12200
EST300WN,0.02,18800
EST300WN,0.04,24700
EST300WN,0.07,28200
EST300WN,0.0998,30000
EST300WN,0.2,30000
EST300WN,0.4,30000
EST300WN,0.7,30000
EST300WN,0.998,29600
EST300WN,2,23400
EST300WN,4,16200
EST300WN,7.25,10500
EST300WN,9.83,8370
EST300WN,19.4,4780
EST300WN,40,2940
EST300WN,70,1890
EST300WN,200,1370
EST300WN,500,1310
EST300WN,760,1250
EST301WN,0.00375,1
EST301WN,0.00405,5180
EST301WN,0.01,13000
EST301WN,0.02,18600
EST301WN,0.04,23000
EST301WN,0.07,27500
EST301WN,0.1,29000
EST301WN,0.2,30000
EST301WN,0.4,30000
EST301WN,0.7,29000
EST301WN,1,28000
EST301WN,2,20900
EST301WN,4,13800
EST301WN,7,9700
EST301WN,19.9,3750
EST301WN,41.4,2480
EST301WN,70,1890
EST301WN,200,1370
EST301WN,500,1310
EST301WN,760,1250
EST500WN,0.003,10
EST500WN,0.00338,1000
EST500WN,0.00413,3000
EST500WN,0.0075,9000
EST500WN,0.0102,15200
EST500WN,0.0199,25300
EST500WN,0.0399,35300
EST500WN,0.0702,41400
EST500WN,0.101,43800
EST500WN,0.2,48800
EST500WN,0.401,50000
EST500WN,0.701,49500
EST500WN,0.78,48700
EST500WN,0.87,48500
EST500WN,0.998,48900
EST500WN,1.12,48100
EST500WN,1.29,48200
EST500WN,1.46,47700
EST500WN,1.66,46500
EST500WN,1.81,46800
EST500WN,1.99,46300
EST500WN,3,38000
EST500WN,4.5,31000
EST500WN,7.5,22000
EST500WN,11.3,16000
EST500WN,15,12000
EST500WN,18.8,9000
EST500WN,22.5,7000
EST500WN,27.8,5000
EST500WN,37.5,3500
EST500WN,50,2700
EST500WN,99.8,1500
EST500WN,200,1300
EST500WN,500,1270
EST500WN,743,1250
EST500WN,760,1200
EST500WN-XHN,0.0038,1
EST500WN-XHN,0.0038,1199.765
EST500WN-XHN,0.0039,10
EST500WN-XHN,0.004,2485.88
EST500WN-XHN,0.0092,13843.405
EST500WN-XHN,0.0405,37206.72667
EST500WN-XHN,0.1328,48263.16667
EST500WN-XHN,0.5667,50583.98333
EST500WN-XHN,1.8572,48263.16667
EST500WN-XHN,12.1642,15361.75
EST500WN-XHN,33.8064,4641.588333
EST500WN-XHN,93.9536,1726.983333
EST500WN-XHN,181.681,1331.355
EST500WN-XHN,750,1331.355
EST500WN-XHN,1000,1331.355
EST800WN,0.0021,1
EST800WN,0.004,7100
EST800WN,0.007,18200
EST800WN,0.01,25000
EST800WN,0.02,40500
EST800WN,0.04,54500
EST800WN,0.07,62000
EST800WN,0.1,68300
EST800WN,0.2,77600
EST800WN,0.4,80000
EST800WN,0.7,77600
EST800WN,1,72000
EST800WN,2,59500
EST800WN,4,40000
EV-L100N,0.00375,1
EV-L100N,0.0045,1000
EV-L100N,0.006,2500
EV-L100N,0.01,4410
EV-L100N,0.02,6000
EV-L100N,0.04,7600
EV-L100N,0.07,8690
EV-L100N,0.1,9270
EV-L100N,0.2,9880
EV-L100N,0.4,10300
EV-L100N,0.7,10400
EV-L100N,1,10300
EV-L100N,2,9880
EV-L100N,4,8930
EV-L100N,7,8250
EV-L100N,10,7750
EV-L100N,12.2,7330
EV-L100N,20,5360
EV-L100N,40,3480
EV-L100N,70,2580
EV-L100N,605,281
EV-L100N,647,279
EV-M102N,0.00375,0.001
EV-M102N,0.004,2720
EV-M102N,0.0071,4920
EV-M102N,0.02,7100
EV-M102N,0.0402,8450
EV-M102N,0.0699,9120
EV-M102N,0.1,9480
EV-M102N,0.2,9860
EV-M102N,0.399,10000
EV-M102N,0.701,10000
EV-M102N,0.997,10000
EV-M102N,2.53,9400
EV-M102N,3.33,8830
EV-M102N,6.53,7000
EV-M102N,14.5,4380
EV-M102N,30.8,2810
EV-M102N,211,612
EV-M102N,411,451
EV-M102N,732,400
EV-M1205,0.00375,1
EV-M1205,0.00525,16500
EV-M1205,0.00675,33700
EV-M1205,0.00975,46500
EV-M1205,0.0203,69800
EV-M1205,0.0398,89200
EV-M1205,0.0698,103000
EV-M1205,0.0998,109000
EV-M1205,0.2,112000
EV-M1205,0.4,112000
EV-M1205,0.7,110000
EV-M1205,0.855,109000
EV-M1205,1,97700
EV-M1205,2,49600
EV-M1205,14.4,8220
EV-M1205,20,6860
EV-M1205,40,4910
EV-M1205,70.5,3800
EV-M1205,101,2980
EV-M1205,203,1970
EV-M1205,400,1510
EV-M1205,640,1330
EV-M202N,0.00375,1
EV-M202N,0.00398,3500
EV-M202N,0.00698,7680
EV-M202N,0.02,13400
EV-M202N,0.04,17100
EV-M202N,0.0701,19000
EV-M202N,0.101,19800
EV-M202N,0.209,20000
EV-M202N,0.4,20000
EV-M202N,0.701,19800
EV-M202N,1.01,19000
EV-M202N,2.03,14700
EV-M202N,4.07,9800
EV-M202N,7.02,7100
EV-M202N,9.9,5740
EV-M202N,20,3680
EV-M202N,40.1,2320
EV-M202N,70.2,1510
EV-M202N,211,610
EV-M202N,410,450
EV-M202N,732,400
EV-M20N,0.0375,10
EV-M20N,0.045,448
EV-M20N,0.0706,854
EV-M20N,0.0999,1050
EV-M20N,0.201,1340
EV-M20N,0.401,1520
EV-M20N,0.701,1610
EV-M20N,1,1620
EV-M20N,4,1780
EV-M20N,7,1800
EV-M20N,10.1,1770
EV-M20N,20,1780
EV-M20N,40,1740
EV-M20N,71.9,1600
EV-M20N,107,1440
EV-M20N,193,955
EV-M20N,401,664
EV-M20N,706,520
EV-M20N,733,513
EV-M302N,0.00375,10
EV-M302N,0.00503,3310
EV-M302N,0.0075,8000
EV-M302N,0.0101,10000
EV-M302N,0.021,15500
EV-M302N,0.041,19200
EV-M302N,0.0703,21700
EV-M302N,0.101,23700
EV-M302N,0.204,26900
EV-M302N,0.404,27500
EV-M302N,0.615,25500
EV-M302N,1.01,22500
EV-M302N,2.06,14500
EV-M302N,4.07,9460
EV-M302N,7.02,6720
EV-M302N,10,5340
EV-M302N,21,3520
EV-M302N,40.3,2600
EV-M302N,70.2,2160
EV-M302N,100,1580
EV-M302N,226,604
EV-M302N,413,461
EV-M302N,737,407
EV-M502N,0.00375,10
EV-M502N,0.00405,5330
EV-M502N,0.0069,13200
EV-M502N,0.0101,18100
EV-M502N,0.0204,28000
EV-M502N,0.0405,36600
EV-M502N,0.07,41300
EV-M502N,0.101,44000
EV-M502N,0.2,48000
EV-M502N,0.4,49500
EV-M502N,0.5,50000
EV-M502N,0.701,49900
EV-M502N,1.03,44400
EV-M502N,2,31200
EV-M502N,4.07,18500
EV-M502N,7.04,10300
EV-M502N,10.3,6720
EV-M502N,21.4,3620
EV-M502N,40.1,2320
EV-M502N,70.1,1730
EV-M502N,99.3,1490
EV-M502N,199,1030
EV-M502N,403,741
EV-M502N,747,571
EV-M502N(M25),0.00375,1
EV-M502N(M25),0.00413,6430
EV-M502N(M25),0.0072,14000
EV-M502N(M25),0.0099,18800
EV-M502N(M25),0.0202,29600
EV-M502N(M25),0.0399,38900
EV-M502N(M25),0.0699,43300
EV-M502N(M25),0.0998,45900
EV-M502N(M25),0.2,49900
EV-M502N(M25),0.4,49900
EV-M502N(M25),0.7,50000
EV-M502N(M25),0.782,49900
EV-M502N(M25),0.998,48200
EV-M502N(M25),2,37700
EV-M502N(M25),4.01,23800
EV-M502N(M25),39.4,2890
EV-M502N(M25),69.3,2030
EV-M502N(M25),101,1500
EV-M502N(M25),200,856
EV-M502N(M25),400,580
EV-M502N(M25),700,469
EV-M502N(M25),743,465
EV-M502NF,0.00375,1
EV-M502NF,0.00405,5330
EV-M502NF,0.0069,13200
EV-M502NF,0.0101,18100
EV-M502NF,0.0204,28000
EV-M502NF,0.0405,36600
EV-M502NF,0.07,41300
EV-M502NF,0.101,44000
EV-M502NF,0.2,48000
EV-M502NF,0.4,49500
EV-M502NF,0.5,50200
EV-M502NF,0.698,49700
EV-M502NF,0.998,49500
EV-M502NF,2,48200
EV-M502NF,4.05,26000
EV-M502NF,6.8,13900
EV-M502NF,10.3,8000
EV-M502NF,21.4,3620
EV-M502NF,40.1,2320
EV-M502NF,70.2,1510
EV-M502NF,211,610
EV-M502NF,410,450
EV-M502NF,732,400
EV-M505SF,0.004,0.1
EV-M505SF,0.0071,8560
EV-M505SF,0.01,13700
EV-M505SF,0.0207,23000
EV-M505SF,0.0429,31100
EV-M505SF,0.0762,35800
EV-M505SF,0.109,38500
EV-M505SF,0.223,42000
EV-M505SF,0.435,44800
EV-M505SF,0.769,45600
EV-M505SF,1.1,46600
EV-M505SF,2.24,45300
EV-M505SF,2.59,45100
EV-M505SF,3.51,44400
EV-M505SF,3.76,44500
EV-M505SF,11.8,18200
EV-M505SF,14.9,13500
EV-M505SF,19.9,11500
EV-M505SF,41.4,4790
EV-M505SF,71.9,3550
EV-M505SF,107,3090
EV-M505SF,193,2400
EV-M505SF,401,1740
EV-M505SF,707,1450
EV-M802N,0.00383,10
EV-M802N,0.0042,14200
EV-M802N,0.00998,40800
EV-M802N,0.04,66700
EV-M802N,0.0711,75000
EV-M802N,0.099,77800
EV-M802N,0.233,80000
EV-M802N,0.285,80000
EV-M802N,0.386,77000
EV-M802N,0.69,64100
EV-M802N,1.08,54000
EV-M802N,2.33,34000
EV-M802N,10.3,6720
EV-M802N,19.9,3750
EV-M802N,41.4,2480
EV-M802N,71.9,1840
EV-M802N,107,1440
EV-M802N,193,955
EV-M802N,401,664
EV-M802N,706,520
EV-M802N,733,513
EV-M802NF,0.00375,1
EV-M802NF,0.00525,12800
EV-M802NF,0.0072,27000
EV-M802NF,0.00998,37200
EV-M802NF,0.02,54700
EV-M802NF,0.0399,66000
EV-M802NF,0.07,74200
EV-M802NF,0.1,77600
EV-M802NF,0.2,78900
EV-M802NF,0.403,80000
EV-M802NF,0.59,80000
EV-M802NF,0.698,80000
EV-M802NF,1.01,65300
EV-M802NF,1.94,35100
EV-M802NF,40,2270
EV-M802NF,69.9,1600
EV-M802NF,98,1300
EV-M802NF,203,846
EV-M802NF,391,691
EV-M802NF,699,572
EV-M802NF,735,556
EV-M802NF,760,555
EV-M805SF-BME,0.00375,1
EV-M805SF-BME,0.00525,22800
EV-M805SF-BME,0.0072,27000
EV-M805SF-BME,0.00998,37200
EV-M805SF-BME,0.02,74700
EV-M805SF-BME,0.0399,81000
EV-M805SF-BME,0.07,85000
EV-M805SF-BME,0.1,92500
EV-M805SF-BME,0.2,93000
EV-M805SF-BME,0.403,93000
EV-M805SF-BME,0.59,94000
EV-M805SF-BME,0.698,94000
EV-M805SF-BME,1.01,94000
EV-M805SF-BME,1.94,72000
EV-M805SF-BME,40,5270
EV-M805SF-BME,69.9,3500
EV-M805SF-BME,98,2500
EV-M805SF-BME,203,1550
EV-M805SF-BME,391,1290
EV-M805SF-BME,699,1000
EV-M805SF-BME,735,1000
EV-M805SF-BME,760,1000
EV-S100 ,0.00375,0.1
EV-S100 ,0.00375,1580
EV-S100 ,0.00409,3100
EV-S100 ,0.00708,4050
EV-S100 ,0.00998,4690
EV-S100 ,0.02,6640
EV-S100 ,0.04,7860
EV-S100 ,0.0697,8550
EV-S100 ,0.1,8920
EV-S100 ,0.2,9440
EV-S100 ,0.399,9800
EV-S100 ,0.698,9870
EV-S100 ,1.02,10000
EV-S100 ,2,9420
EV-S100 ,4,8530
EV-S100 ,7.04,7250
EV-S100 ,10.9,6570
EV-S100 ,82.8,2000
EV-S100 ,101,1600
EV-S100 ,197,1000
EV-S100 ,385,800
EV-S100 ,661,993
EV-S100(P),0.00375,0.1
EV-S100(P),0.00375,1580
EV-S100(P),0.00409,3100
EV-S100(P),0.00708,4050
EV-S100(P),0.00998,4690
EV-S100(P),0.02,6640
EV-S100(P),0.04,7860
EV-S100(P),0.0697,8550
EV-S100(P),0.1,8920
EV-S100(P),0.2,9440
EV-S100(P),0.399,9800
EV-S100(P),0.698,9870
EV-S100(P),1.02,10000
EV-S100(P),2,9420
EV-S100(P),4,8530
EV-S100(P),7.04,7250
EV-S100(P),10.9,6570
EV-S100(P),82.8,2000
EV-S100(P),101,1600
EV-S100(P),197,1000
EV-S100(P),385,800
EV-S100(P),661,993
EV-S100(P),760,992
EV-S100N,0.00375,0.1
EV-S100N,0.00429,3160
EV-S100N,0.00552,3590
EV-S100N,0.00712,4070
EV-S100N,0.00916,4560
EV-S100N,0.0118,5130
EV-S100N,0.0152,5790
EV-S100N,0.0196,6530
EV-S100N,0.0252,7010
EV-S100N,0.0325,7470
EV-S100N,0.0418,7920
EV-S100N,0.0539,8220
EV-S100N,0.0694,8540
EV-S100N,0.0893,8820
EV-S100N,0.115,9040
EV-S100N,0.148,9220
EV-S100N,0.191,9400
EV-S100N,0.246,9540
EV-S100N,0.316,9670
EV-S100N,0.408,9800
EV-S100N,0.525,9830
EV-S100N,0.676,9870
EV-S100N,0.871,9940
EV-S100N,1.12,9940
EV-S100N,1.44,9710
EV-S100N,1.86,9490
EV-S100N,2.4,9190
EV-S100N,3.09,8860
EV-S100N,3.97,8530
EV-S100N,5.12,7940
EV-S100N,6.59,7390
EV-S100N,8.49,6970
EV-S100N,10.9,6610
EV-S100N,14.1,5750
EV-S100N,18.1,4940
EV-S100N,23.4,4250
EV-S100N,30.1,3650
EV-S100N,38.7,3140
EV-S100N,49.9,2700
EV-S100N,64.2,2320
EV-S100N,82.7,1990
EV-S100N,107,1460
EV-S100N,137,1120
EV-S100N,177,864
EV-S100N,228,643
EV-S100N,293,460
EV-S100N,378,329
EV-S100N,486,253
EV-S100N,626,201
EV-S100N,750,180
EV-S20,0.0225,0.1
EV-S20,0.0415,359
EV-S20,0.0721,643
EV-S20,0.102,801
EV-S20,0.207,1180
EV-S20,0.406,1320
EV-S20,0.701,1400
EV-S20,1,1500
EV-S20,2.06,1650
EV-S20,4.01,1680
EV-S20,7.08,1610
EV-S20,10.1,1510
EV-S20,20,1440
EV-S20,40.5,1270
EV-S20,70.1,1200
EV-S20,99.1,1140
EV-S20,200,750
EV-S20,416,800
EV-S20,683,899
EV-S200 ,0.00375,0.1
EV-S200 ,0.00375,3000
EV-S200 ,0.00489,5310
EV-S200 ,0.00678,6460
EV-S200 ,0.0105,8210
EV-S200 ,0.02,10800
EV-S200 ,0.0708,15500
EV-S200 ,0.108,17000
EV-S200 ,0.205,19500
EV-S200 ,0.402,20400
EV-S200 ,0.702,20100
EV-S200 ,1.01,19400
EV-S200 ,4.05,14300
EV-S200 ,5.25,12500
EV-S200 ,7.5,10500
EV-S200 ,19.9,5800
EV-S200 ,39.4,3600
EV-S200 ,67,2500
EV-S200 ,109,1700
EV-S200 ,109,1700
EV-S200 ,198,1000
EV-S200 ,389,800
EV-S200 ,678,1000
EV-S200(P),0.00375,0.1
EV-S200(P),0.00429,3160
EV-S200(P),0.00554,5720
EV-S200(P),0.00714,6650
EV-S200(P),0.00921,7650
EV-S200(P),0.0119,8660
EV-S200(P),0.0153,9640
EV-S200(P),0.0198,10700
EV-S200(P),0.0255,11600
EV-S200(P),0.0329,12400
EV-S200(P),0.0424,13400
EV-S200(P),0.0547,14400
EV-S200(P),0.0706,15500
EV-S200(P),0.0911,16400
EV-S200(P),0.117,17300
EV-S200(P),0.152,18300
EV-S200(P),0.195,19300
EV-S200(P),0.252,19700
EV-S200(P),0.325,20100
EV-S200(P),0.42,20300
EV-S200(P),0.541,20200
EV-S200(P),0.698,20100
EV-S200(P),0.9,19600
EV-S200(P),1.16,18800
EV-S200(P),1.5,17800
EV-S200(P),1.93,16900
EV-S200(P),2.49,16000
EV-S200(P),3.22,15100
EV-S200(P),4.15,14200
EV-S200(P),5.35,12400
EV-S200(P),6.9,10900
EV-S200(P),8.9,9460
EV-S200(P),11.5,8100
EV-S200(P),14.8,6940
EV-S200(P),19.1,5940
EV-S200(P),24.6,5000
EV-S200(P),31.8,4180
EV-S200(P),41,3510
EV-S200(P),52.9,2940
EV-S200(P),68.2,2470
EV-S200(P),88,2010
EV-S200(P),114,1640
EV-S200(P),146,1310
EV-S200(P),189,1040
EV-S200(P),244,933
EV-S200(P),314,858
EV-S200(P),405,813
EV-S200(P),523,901
EV-S200(P),674,998
EV-S200(P),760,1000
EV-S200N,0.00375,0.1
EV-S200N,0.00375,3000
EV-S200N,0.00489,5310
EV-S200N,0.00678,6460
EV-S200N,0.0105,8210
EV-S200N,0.02,10800
EV-S200N,0.0708,15500
EV-S200N,0.108,17000
EV-S200N,0.205,19500
EV-S200N,0.402,20400
EV-S200N,0.702,20100
EV-S200N,1.01,19400
EV-S200N,4.05,14300
EV-S200N,5.25,12500
EV-S200N,7.5,10500
EV-S200N,19.9,5800
EV-S200N,39.4,3600
EV-S200N,67,2500
EV-S200N,109,1700
EV-S200N,109,1700
EV-S200N,206,850
EV-S200N,403,350
EV-S200N,705,180
EV-S200N,760,180
EV-S200大流量,0.00188,0
EV-S200大流量,0.0042,4590
EV-S200大流量,0.0072,6970
EV-S200大流量,0.0103,8620
EV-S200大流量,0.0201,11900
EV-S200大流量,0.0404,15300
EV-S200大流量,0.0701,17600
EV-S200大流量,0.1,18500
EV-S200大流量,0.197,19300
EV-S200大流量,0.401,19300
EV-S200大流量,0.697,17700
EV-S200大流量,0.996,17000
EV-S200大流量,1.29,15600
EV-S200大流量,2,11900
EV-S200大流量,4,7330
EV-S200大流量,7.01,4740
EV-S200大流量,9.99,3550
EV-S200大流量,19.4,1990
EV-S200大流量,40,1060
EV-S200大流量,306,146
EV-S200大流量,321,195
EV-S200大流量,342,284
EV-S200大流量,370,352
EV-S200大流量,401,408
EV-S200大流量,417,442
EV-S200大流量,706,739
EV-S20N,0.0375,0.1
EV-S20N,0.045,150
EV-S20N,0.0721,550
EV-S20N,0.102,801
EV-S20N,0.207,1180
EV-S20N,0.406,1320
EV-S20N,0.701,1400
EV-S20N,1,1500
EV-S20N,2.06,1650
EV-S20N,4.01,1680
EV-S20N,7.08,1610
EV-S20N,10.1,1510
EV-S20N,20,1440
EV-S20N,40.5,1270
EV-S20N,70.1,1200
EV-S20N,99.1,1100
EV-S20N,200,545
EV-S20N,494,209
EV-S20N,752,176
EV-S20P,0.0375,0.1
EV-S20P,0.045,150
EV-S20P,0.0721,550
EV-S20P,0.102,801
EV-S20P,0.207,1180
EV-S20P,0.406,1320
EV-S20P,0.701,1400
EV-S20P,1,1500
EV-S20P,2.06,1650
EV-S20P,4.01,1680
EV-S20P,7.08,1610
EV-S20P,10.1,1510
EV-S20P,20,1440
EV-S20P,40.5,1270
EV-S20P,70.1,1200
EV-S20P,99.1,1140
EV-S20P,200,750
EV-S20P,416,800
EV-S20P,683,899
EV-S21,0.009,1
EV-S21,0.0202,532
EV-S21,0.04,806
EV-S21,0.0695,1030
EV-S21,0.1,1150
EV-S21,0.199,1400
EV-S21,0.4,1550
EV-S21,0.7,1660
EV-S21,0.999,1690
EV-S21,2,1770
EV-S21,4,1800
EV-S21,7,1790
EV-S21,8.63,1780
EV-S21,10,1760
EV-S21,20,1730
EV-S21,40,1650
EV-S21,57.8,1570
EV-S21,80.3,1270
EV-S21,99.5,1190
EV-S21,227,790
EV-S21,279,800
EV-S21,399,877
EV-S21,696,897
EV-S21,760,897
EV-S50 ,0.00375,0.1
EV-S50 ,0.00375,400
EV-S50 ,0.00409,500
EV-S50 ,0.00748,700
EV-S50 ,0.00988,900
EV-S50 ,0.0203,1510
EV-S50 ,0.0419,2140
EV-S50 ,0.0698,2800
EV-S50 ,0.0995,3190
EV-S50 ,0.205,4730
EV-S50 ,0.402,4830
EV-S50 ,0.703,4800
EV-S50 ,1.02,4800
EV-S50 ,2.06,4500
EV-S50 ,4.04,4300
EV-S50 ,6.92,4200
EV-S50 ,10.1,4280
EV-S50 ,20.6,3720
EV-S50 ,58.8,2210
EV-S50 ,74.9,2050
EV-S50 ,105,1600
EV-S50 ,206,1000
EV-S50 ,403,800
EV-S50 ,705,900
EV-S50(P),0.00375,0.1
EV-S50(P),0.00375,400
EV-S50(P),0.00409,500
EV-S50(P),0.00748,700
EV-S50(P),0.00988,900
EV-S50(P),0.0203,1510
EV-S50(P),0.0419,2140
EV-S50(P),0.0698,2800
EV-S50(P),0.0995,3190
EV-S50(P),0.205,4730
EV-S50(P),0.402,4830
EV-S50(P),0.703,4800
EV-S50(P),1.02,4800
EV-S50(P),2.06,4500
EV-S50(P),4.04,4300
EV-S50(P),6.92,4200
EV-S50(P),10.1,4280
EV-S50(P),20.6,3720
EV-S50(P),58.8,2210
EV-S50(P),74.9,2050
EV-S50(P),105,1600
EV-S50(P),206,1000
EV-S50(P),403,800
EV-S50(P),705,900
EV-S50(P),760,900
EV-S50N,0.00375,0.1
EV-S50N,0.00375,400
EV-S50N,0.00409,500
EV-S50N,0.00748,700
EV-S50N,0.00988,900
EV-S50N,0.0203,1510
EV-S50N,0.0419,2140
EV-S50N,0.0698,2800
EV-S50N,0.0995,3190
EV-S50N,0.205,4730
EV-S50N,0.402,4830
EV-S50N,0.703,4800
EV-S50N,1.02,4800
EV-S50N,2.06,4500
EV-S50N,4.04,4300
EV-S50N,6.92,4200
EV-S50N,10.1,4280
EV-S50N,20.6,3720
EV-S50N,58.8,2210
EV-S50N,74.9,2050
EV-S50N,105,1600
EV-S50N,206,750
EV-S50N,403,300
EV-S50N,705,180
ACP40(without N2),0.0158,0.1
ACP40(without N2),0.0188,100
ACP40(without N2),0.0225,200
ACP40(without N2),0.03,367
ACP40(without N2),0.0375,417
ACP40(without N2),0.0525,458
ACP40(without N2),0.075,500
ACP40(without N2),0.15,550
ACP40(without N2),0.225,567
ACP40(without N2),0.45,592
ACP40(without N2),0.6,600
ACP40(without N2),1.05,605
ACP40(without N2),1.5,600
ACP40(without N2),3,583
ACP40(without N2),6,550
ACP40(without N2),15,500
ACP40(without N2),67.5,400
ACP40(without N2),150,333
ACP40(without N2),488,233
ACP40(without N2),525,233
ACP40(without N2),750,233
AishinDB-020,0.0225,400
AishinDB-020,0.03,800
AishinDB-020,0.0525,1500
AishinDB-020,0.075,1900
AishinDB-020,0.15,2400
AishinDB-020,0.225,2520
AishinDB-020,0.75,2600
AishinDB-020,3.75,2650
AishinDB-020,7.5,2650
AishinDB-020,15,2650
AishinDB-020,22.5,2620
AishinDB-020,67.5,2500
AishinDB-020,150,2300
AishinDB-020,338,2000
AishinDB-020,450,1900
AishinDB-020,760,1700
Alcatel-A100L,0.00413,0.1
Alcatel-A100L,0.00525,125
Alcatel-A100L,0.0075,316
Alcatel-A100L,0.0225,791
Alcatel-A100L,0.0375,958
Alcatel-A100L,0.0525,1070
Alcatel-A100L,0.075,1170
Alcatel-A100L,0.225,1420
Alcatel-A100L,0.375,1500
Alcatel-A100L,0.525,1540
Alcatel-A100L,0.75,1580
Alcatel-A100L,2.25,1650
Alcatel-A100L,3.75,1650
Alcatel-A100L,5.25,1630
Alcatel-A100L,7.5,1600
Alcatel-A100L,22.5,1460
Alcatel-A100L,37.5,1380
Alcatel-A100L,52.5,1300
Alcatel-A100L,75,1240
Alcatel-A100L,225,916
Alcatel-A100L,375,666
Alcatel-A100L,413,583
Alcatel-A100L,525,600
Alcatel-A100L,760,600
Alcatel-ACP28,0.0113,0
Alcatel-ACP28,0.015,133
Alcatel-ACP28,0.0225,208
Alcatel-ACP28,0.03,250
Alcatel-ACP28,0.0375,283
Alcatel-ACP28,0.045,297
Alcatel-ACP28,0.0525,309
Alcatel-ACP28,0.06,318
Alcatel-ACP28,0.0675,329
Alcatel-ACP28,0.075,342
Alcatel-ACP28,0.09,358
Alcatel-ACP28,0.15,392
Alcatel-ACP28,0.225,416
Alcatel-ACP28,0.3,427
Alcatel-ACP28,0.375,437
Alcatel-ACP28,0.45,440
Alcatel-ACP28,0.525,443
Alcatel-ACP28,0.6,447
Alcatel-ACP28,0.675,448
Alcatel-ACP28,0.75,450
Alcatel-ACP28,1.5,462
Alcatel-ACP28,2.25,462
Alcatel-ACP28,3,462
Alcatel-ACP28,3.75,461
Alcatel-ACP28,4.5,460
Alcatel-ACP28,5.25,458
Alcatel-ACP28,6,455
Alcatel-ACP28,6.75,453
Alcatel-ACP28,7.5,450
Alcatel-ACP28,15,440
Alcatel-ACP28,22.5,430
Alcatel-ACP28,30,422
Alcatel-ACP28,37.5,413
Alcatel-ACP28,45,405
Alcatel-ACP28,52.5,400
